"","retails","total"
"1","subway",1232
"2","mcdonald's",1044
"3","kfc",771
"4","dominos",726
"5","barbell foods",589
"6","hungry jack",467
"7","red rooster",352
"8","pizza hut",266
"9","zambrero",254
